id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
1783153,PRINCESS,0.33,VVS2,E,EX,EX,GD,F,1010.59,3.84,3.79,2.67,0,0,0,0,0,0,1,0,3.0,2.0,0.0,0.0,2.0,3.0
1765234,PRINCESS,0.34,VS1,F,EX,EX,VG,N,1010.91,3.95,3.9,2.77,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,1.0,0.0
1775625,PRINCESS,0.33,VS1,D,EX,VG,GD,N,1012.26,3.87,3.87,2.63,0,0,0,0,0,0,1,0,4.0,1.0,0.0,1.0,2.0,0.0
1649332,PRINCESS,0.5,SI2,K,EX,EX,GD,N,1012.33,4.21,4.19,3.04,0,0,0,0,0,0,1,0,7.0,8.0,0.0,0.0,2.0,0.0
1786744,PRINCESS,0.43,VS2,J,EX,EX,GD,N,1012.43,4.23,4.15,3.01,0,0,0,0,0,0,1,0,5.0,7.0,0.0,0.0,2.0,0.0
1594165,PRINCESS,0.51,VVS2,K,VG,VG,VG,N,1012.43,4.31,4.22,3.14,0,0,0,0,0,0,1,0,3.0,8.0,1.0,1.0,1.0,0.0
1798883,PRINCESS,0.31,VS1,F,EX,EX,VG,N,1013.39,3.73,3.7,2.6,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,1.0,0.0
1800370,PRINCESS,0.33,VVS2,F,EX,VG,GD,N,1013.41,3.89,3.83,2.77,0,0,0,0,0,0,1,0,3.0,3.0,0.0,1.0,2.0,0.0
1654387,PRINCESS,0.5,VS1,K,GD,EX,VG,F,1014.13,4.12,4.02,3.19,0,0,0,0,0,0,1,0,4.0,8.0,2.0,0.0,1.0,3.0
1775627,PRINCESS,0.37,VS2,E,EX,VG,GD,N,1015.23,4.02,4.01,2.66,0,0,0,0,0,0,1,0,5.0,2.0,0.0,1.0,2.0,0.0
1800373,PRINCESS,0.31,VS1,D,EX,EX,VG,N,1016.45,3.76,3.72,2.65,0,0,0,0,0,0,1,0,4.0,1.0,0.0,0.0,1.0,0.0
1797565,PRINCESS,0.31,VVS1,E,EX,VG,GD,N,1016.52,3.8,3.76,2.67,0,0,0,0,0,0,1,0,2.0,2.0,0.0,1.0,2.0,0.0
1771762,PRINCESS,0.3,VVS2,D,EX,EX,VG,N,1018.39,3.79,3.73,2.5,0,0,0,0,0,0,1,0,3.0,1.0,0.0,0.0,1.0,0.0
1769923,PRINCESS,0.3,VVS2,D,EX,EX,VG,N,1018.39,3.74,3.73,2.54,0,0,0,0,0,0,1,0,3.0,1.0,0.0,0.0,1.0,0.0
1656725,PRINCESS,0.5,SI2,J,VG,EX,GD,N,1020.11,4.19,4.18,3.13,0,0,0,0,0,0,1,0,7.0,7.0,1.0,0.0,2.0,0.0
1796228,PRINCESS,0.34,VVS2,H,EX,EX,GD,N,951.15,3.9,3.85,2.62,0,0,0,0,0,0,1,0,3.0,5.0,0.0,0.0,2.0,0.0
1800990,PRINCESS,0.3,VS1,E,EX,EX,VG,N,952.01,3.66,3.61,2.59,0,0,0,0,0,0,1,0,4.0,2.0,0.0,0.0,1.0,0.0
1800371,PRINCESS,0.3,VVS2,F,EX,EX,VG,F,952.01,3.8,3.79,2.54,0,0,0,0,0,0,1,0,3.0,3.0,0.0,0.0,1.0,3.0
1774646,PRINCESS,0.33,VVS1,F,EX,EX,GD,F,952.03,3.9,3.83,2.62,0,0,0,0,0,0,1,0,2.0,3.0,0.0,0.0,2.0,3.0
1775629,PRINCESS,0.34,VS2,H,EX,EX,VG,N,952.28,3.88,3.84,2.78,0,0,0,0,0,0,1,0,5.0,5.0,0.0,0.0,1.0,0.0
1742151,PRINCESS,0.3,VS1,D,EX,EX,VG,N,952.99,3.8,3.79,2.57,0,0,0,0,0,0,1,0,4.0,1.0,0.0,0.0,1.0,0.0
1788261,PRINCESS,0.3,VS2,G,EX,EX,VG,N,954.02,3.83,3.8,2.63,0,0,0,0,0,0,1,0,5.0,4.0,0.0,0.0,1.0,0.0
1785751,PRINCESS,0.31,VS1,F,EX,EX,GD,N,954.65,3.84,3.77,2.61,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,2.0,0.0
1790042,PRINCESS,0.32,VS2,E,EX,EX,GD,N,955.64,3.87,3.81,2.68,0,0,0,0,0,0,1,0,5.0,2.0,0.0,0.0,2.0,0.0
1781742,PRINCESS,0.31,VS1,E,EX,VG,VG,N,956.74,3.78,3.71,2.68,0,0,0,0,0,0,1,0,4.0,2.0,0.0,1.0,1.0,0.0
1765909,PRINCESS,0.3,VS1,D,EX,VG,GD,N,958.57,3.63,3.59,2.6,0,0,0,0,0,0,1,0,4.0,1.0,0.0,1.0,2.0,0.0
1784083,PRINCESS,0.3,VS2,D,EX,EX,VG,N,958.65,3.79,3.73,2.66,0,0,0,0,0,0,1,0,5.0,1.0,0.0,0.0,1.0,0.0
1788246,PRINCESS,0.3,VVS2,D,EX,EX,GD,N,959.62,3.76,3.71,2.7,0,0,0,0,0,0,1,0,3.0,1.0,0.0,0.0,2.0,0.0
1651820,PRINCESS,0.5,VS1,L,EX,VG,VG,M,959.65,4.28,4.26,3.1,0,0,0,0,0,0,1,0,4.0,9.0,0.0,1.0,1.0,4.0
1790037,PRINCESS,0.31,VS1,E,EX,EX,VG,F,960.43,3.72,3.67,2.59,0,0,0,0,0,0,1,0,4.0,2.0,0.0,0.0,1.0,3.0
1785743,PRINCESS,0.33,VVS1,F,EX,EX,VG,N,1056.32,3.91,3.84,2.58,0,0,0,0,0,0,1,0,2.0,3.0,0.0,0.0,1.0,0.0
1784079,PRINCESS,0.33,VS1,D,EX,EX,VG,N,1056.32,3.87,3.82,2.77,0,0,0,0,0,0,1,0,4.0,1.0,0.0,0.0,1.0,0.0
1656720,PRINCESS,0.51,VS1,L,EX,VG,VG,F,1057.44,4.35,4.3,3.12,0,0,0,0,0,0,1,0,4.0,9.0,0.0,1.0,1.0,3.0
1798880,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,1060.0,3.84,3.79,2.7,0,0,0,0,0,0,1,0,2.0,2.0,0.0,0.0,1.0,0.0
1778818,PRINCESS,0.3,VVS1,D,EX,EX,VG,N,1062.0,3.81,3.74,2.64,0,0,0,0,0,0,1,0,2.0,1.0,0.0,0.0,1.0,0.0
1789300,PRINCESS,0.31,VVS1,D,EX,EX,GD,N,1063.62,3.85,3.77,2.69,0,0,0,0,0,0,1,0,2.0,1.0,0.0,0.0,2.0,0.0
1646367,PRINCESS,0.5,SI1,J,VG,EX,GD,N,1065.06,4.23,4.21,3.12,0,0,0,0,0,0,1,0,6.0,7.0,1.0,0.0,2.0,0.0
1786745,PRINCESS,0.4,SI1,E,VG,EX,GD,N,1066.12,4.11,4.02,2.9,0,0,0,0,0,0,1,0,6.0,2.0,1.0,0.0,2.0,0.0
1781734,PRINCESS,0.41,SI1,F,VG,EX,GD,N,1066.25,4.17,4.04,2.99,0,0,0,0,0,0,1,0,6.0,3.0,1.0,0.0,2.0,0.0
1781726,PRINCESS,0.4,VVS1,I,EX,EX,VG,M,1067.4,4.11,4.04,2.82,0,0,0,0,0,0,1,0,2.0,6.0,0.0,0.0,1.0,4.0
1771758,PRINCESS,0.4,VS2,I,VG,EX,VG,N,1067.44,3.99,3.98,2.98,0,0,0,0,0,0,1,0,5.0,6.0,1.0,0.0,1.0,0.0
1800991,PRINCESS,0.37,VS1,G,EX,EX,GD,F,1067.76,3.94,3.87,2.81,0,0,0,0,0,0,1,0,4.0,4.0,0.0,0.0,2.0,3.0
1646368,PRINCESS,0.5,SI1,K,EX,EX,VG,N,1069.46,4.28,4.21,3.04,0,0,0,0,0,0,1,0,6.0,8.0,0.0,0.0,1.0,0.0
1769921,PRINCESS,0.3,VVS1,D,EX,EX,VG,N,1069.67,3.73,3.68,2.64,0,0,0,0,0,0,1,0,2.0,1.0,0.0,0.0,1.0,0.0
1789302,PRINCESS,0.32,VVS1,E,EX,EX,VG,N,1069.7,3.78,3.76,2.68,0,0,0,0,0,0,1,0,2.0,2.0,0.0,0.0,1.0,0.0
1669838,PRINCESS,0.5,VS2,L,EX,EX,VG,F,1037.43,4.31,4.27,3.1,0,0,0,0,0,0,1,0,5.0,9.0,0.0,0.0,1.0,3.0
1797566,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,1038.25,3.77,3.71,2.53,0,0,0,0,0,0,1,0,2.0,2.0,0.0,0.0,1.0,0.0
1781738,PRINCESS,0.32,VVS2,E,EX,EX,VG,N,1041.04,3.84,3.83,2.68,0,0,0,0,0,0,1,0,3.0,2.0,0.0,0.0,1.0,0.0
1783154,PRINCESS,0.33,VVS2,E,EX,EX,VG,N,1041.82,3.96,3.9,2.62,0,0,0,0,0,0,1,0,3.0,2.0,0.0,0.0,1.0,0.0
1781736,PRINCESS,0.41,SI1,I,EX,VG,VG,N,1042.07,4.11,4.11,2.96,0,0,0,0,0,0,1,0,6.0,6.0,0.0,1.0,1.0,0.0
1785747,PRINCESS,0.31,VS1,D,EX,EX,VG,N,1043.17,3.74,3.71,2.67,0,0,0,0,0,0,1,0,4.0,1.0,0.0,0.0,1.0,0.0
1659226,PRINCESS,0.5,VS1,M,VG,EX,VG,N,1045.23,4.21,4.15,3.1,0,0,0,0,0,0,1,0,4.0,10.0,1.0,0.0,1.0,0.0
1713113,PRINCESS,0.5,VS2,K,EX,EX,GD,N,1047.8,4.26,4.23,3.08,0,0,0,0,0,0,1,0,5.0,8.0,0.0,0.0,2.0,0.0
1797568,PRINCESS,0.3,VVS2,D,EX,EX,VG,N,1048.85,3.78,3.72,2.51,0,0,0,0,0,0,1,0,3.0,1.0,0.0,0.0,1.0,0.0
1800356,PRINCESS,0.5,SI2,K,VG,VG,GD,N,1049.51,4.27,4.24,3.17,0,0,0,0,0,0,1,0,7.0,8.0,1.0,1.0,2.0,0.0
1785738,PRINCESS,0.4,SI1,F,VG,VG,GD,F,1051.28,4.19,4.08,2.81,0,0,0,0,0,0,1,0,6.0,3.0,1.0,1.0,2.0,3.0
1774637,PRINCESS,0.5,VS2,K,GD,EX,GD,N,1052.87,4.21,4.02,3.16,0,0,0,0,0,0,1,0,5.0,8.0,2.0,0.0,2.0,0.0
1785737,PRINCESS,0.4,SI1,E,VG,VG,FR,N,1053.92,4.22,4.11,2.82,0,0,0,0,0,0,1,0,6.0,2.0,1.0,1.0,3.0,0.0
1785735,PRINCESS,0.4,VS2,I,VG,EX,VG,N,1055.32,3.92,3.86,2.86,0,0,0,0,0,0,1,0,5.0,6.0,1.0,0.0,1.0,0.0
1737219,PRINCESS,0.5,VS2,K,EX,VG,GD,N,1055.41,4.46,4.38,3.18,0,0,0,0,0,0,1,0,5.0,8.0,0.0,1.0,2.0,0.0
1746222,PRINCESS,0.31,VS2,E,EX,EX,VG,N,923.23,3.76,3.71,2.68,0,0,0,0,0,0,1,0,5.0,2.0,0.0,0.0,1.0,0.0
1778821,PRINCESS,0.3,VS1,F,EX,EX,GD,N,923.62,3.76,3.71,2.6,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,2.0,0.0
