weight,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
0.4,4.92,3.64,2.32,0,1,0,0,0,0,0,0,5.0,4.0,1.0,0.0,2.0,0.0
0.5,5.04,5.06,3.17,0,0,0,0,0,0,0,1,2.0,6.0,0.0,0.0,0.0,3.0
0.31,4.31,4.34,2.71,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,3.0
0.5,6.73,4.21,2.66,0,0,0,0,1,0,0,0,7.0,2.0,1.0,0.0,2.0,3.0
0.97,6.1,5.3,3.59,1,0,0,0,0,0,0,0,7.0,7.0,0.0,0.0,1.0,0.0
0.5,4.94,4.98,3.21,0,0,0,0,0,0,0,1,2.0,2.0,1.0,0.0,0.0,3.0
0.5,4.93,5.0,3.21,0,0,0,0,0,0,0,1,6.0,2.0,2.0,0.0,1.0,0.0
1.0,5.61,5.37,3.75,1,0,0,0,0,0,0,0,3.0,6.0,1.0,0.0,1.0,0.0
0.34,6.2,3.89,2.27,0,0,0,0,1,0,0,0,6.0,2.0,0.0,1.0,2.0,0.0
0.38,5.93,3.97,2.46,0,0,0,0,1,0,0,0,6.0,2.0,0.0,0.0,1.0,0.0
0.7,5.52,5.56,3.57,0,0,0,0,0,0,0,1,6.0,8.0,1.0,0.0,0.0,0.0
1.01,8.54,5.53,3.54,0,0,0,0,0,1,0,0,3.0,5.0,0.0,0.0,0.0,0.0
0.5,5.0,5.05,3.16,0,0,0,0,0,0,0,1,6.0,5.0,1.0,0.0,1.0,4.0
0.5,4.41,4.36,3.15,0,0,0,0,0,0,1,0,4.0,5.0,0.0,0.0,1.0,0.0
0.3,4.01,4.74,2.81,0,0,1,0,0,0,0,0,7.0,3.0,0.0,0.0,2.0,0.0
0.51,7.31,4.35,2.73,0,0,0,0,0,1,0,0,5.0,4.0,0.0,0.0,1.0,0.0
