id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence,is_outlier
1783876,HEART,0.3,SI1,G,VG,VG,GD,N,884.06,3.98,4.63,2.68,0,0,1,0,0,0,0,0,6.0,4.0,1.0,1.0,2.0,0.0,False
1743844,EMERALD,0.54,VS1,L,EX,VG,VG,N,1058.97,5.39,3.99,2.6,0,1,0,0,0,0,0,0,4.0,9.0,0.0,1.0,1.0,0.0,False
1784946,CUSHION,0.5,SI1,G,VG,EX,GD,N,1259.15,4.87,4.29,2.78,1,0,0,0,0,0,0,0,6.0,4.0,1.0,0.0,2.0,0.0,False
1671666,ROUND,0.52,VVS2,J,EX,EX,EX,F,2180.11,5.16,5.18,3.21,0,0,0,0,0,0,0,1,3.0,7.0,0.0,0.0,0.0,3.0,False
1626209,CUSHION,0.9,VS2,G,EX,EX,EX,N,3427.05,6.12,5.12,3.45,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,False
1658582,ROUND,0.5,VS2,H,VG,EX,VG,F,2304.07,5.07,5.12,3.05,0,0,0,0,0,0,0,1,5.0,5.0,1.0,0.0,1.0,3.0,False
213057-128,PEAR,1.0,SI2,G,EX,VG,VG,F,4434.76,9.06,5.58,3.34,0,0,0,0,0,1,0,0,7.0,4.0,0.0,1.0,1.0,3.0,False
211169-26,CUSHION,1.0,SI2,L,VG,EX,VG,N,2247.57,6.22,5.27,3.62,1,0,0,0,0,0,0,0,7.0,9.0,1.0,0.0,1.0,0.0,False
1772717,PRINCESS,0.47,SI1,H,EX,EX,GD,N,1255.45,4.27,4.25,3.08,0,0,0,0,0,0,1,0,6.0,5.0,0.0,0.0,2.0,0.0,False
1771174,EMERALD,0.4,VS2,H,EX,EX,VG,N,1147.17,4.83,3.56,2.4,0,1,0,0,0,0,0,0,5.0,5.0,0.0,0.0,1.0,0.0,False
1628251,CUSHION,0.7,SI1,E,EX,EX,EX,N,2455.49,5.12,4.91,3.29,1,0,0,0,0,0,0,0,6.0,2.0,0.0,0.0,0.0,0.0,False
Eco Diamond LG200587,CUSHION,1.52,VVS2,H,EX,EX,EX,N,4944.08,6.56,6.25,4.21,1,0,0,0,0,0,0,0,3.0,5.0,0.0,0.0,0.0,0.0,False
1668240,EMERALD,0.52,SI1,I,EX,EX,VG,N,1409.53,5.72,3.75,2.38,0,1,0,0,0,0,0,0,6.0,6.0,0.0,0.0,1.0,0.0,False
200701-116,CUSHION,1.01,SI2,F,EX,VG,VG,N,2281.0,5.93,5.79,3.83,1,0,0,0,0,0,0,0,7.0,3.0,0.0,1.0,1.0,0.0,False
